PlayerName,MatchPlayingOrder,BowlerName,OutDesc,Runs,Balls,DotBalls,Fours,Sixes
Ruturaj  Gaikwad,1,Umesh Yadav,c Nitish Rana b Umesh Yadav,0,4,4,0,0
Devon Conway,2,Umesh Yadav,c Shreyas Iyer b Umesh Yadav,3,8,5,0,0
Robin Uthappa,3,Varun Chakaravarthy,st Sheldon Jackson b Varun Chakaravarthy,28,21,10,2,2
Ambati Rayudu,4,Sunil Narine,run out (Shreyas Iyer),15,17,10,1,1
Ravindra Jadeja,5,,not out,26,28,8,0,1
Shivam Dube,7,Andre Russell,c Sunil Narine b Andre Russell,3,6,3,0,0
MS Dhoni,6,,not out,50,38,16,7,1
Dwayne Bravo,8,,,0,0,0,0,0
Adam Milne,9,,,0,0,0,0,0
Tushar Deshpande,10,,,0,0,0,0,0
Mitchell Santner,11,,,0,0,0,0,0
Ajinkya Rahane,2,Mitchell Santner,c Ravindra Jadeja b Mitchell Santner,44,34,15,6,1
Venkatesh Iyer,3,Dwayne Bravo,c MS Dhoni b Dwayne Bravo,16,16,9,2,0
Nitish Rana,4,Dwayne Bravo,c Ambati Rayudu b Dwayne Bravo,21,17,7,2,1
Shreyas Iyer,1,,not out,20,19,4,1,0
Sam Billings,6,Dwayne Bravo,c Tushar Deshpande b Dwayne Bravo,25,22,8,1,1
Sheldon Jackson,8,,not out,3,3,0,0,0
Andre Russell,5,,,0,0,0,0,0
Sunil Narine,7,,,0,0,0,0,0
Shivam Mavi,9,,,0,0,0,0,0
Umesh Yadav,10,,,0,0,0,0,0
Varun Chakaravarthy,11,,,0,0,0,0,0
Rohit Sharma,2,Kuldeep Yadav,c Rovman Powell b Kuldeep Yadav,41,32,14,4,2
Ishan Kishan,1,,not out,81,48,12,11,2
Anmolpreet Singh,4,Kuldeep Yadav,c Lalit Yadav b Kuldeep Yadav,8,9,3,0,0
Tilak Varma,3,Khaleel Ahmed,c Prithvi Shaw b Khaleel Ahmed,22,15,4,3,0
Kieron Pollard,5,Kuldeep Yadav,c Tim Seifert b Kuldeep Yadav,3,6,3,0,0
Tim David,6,Khaleel Ahmed,c Mandeep Singh b Khaleel Ahmed,12,8,2,0,1
Daniel Sams,7,,not out,7,2,0,0,1
Murugan Ashwin,8,,,0,0,0,0,0
Tymal Mills,9,,,0,0,0,0,0
Jasprit Bumrah,10,,,0,0,0,0,0
Basil Thampi,11,,,0,0,0,0,0
Prithvi Shaw,1,Basil Thampi,c Ishan Kishan b Basil Thampi,38,24,10,4,2
Tim Seifert,2,Murugan Ashwin,b Murugan Ashwin,21,14,7,4,0
Mandeep Singh,3,Murugan Ashwin,c Tilak Varma b Murugan Ashwin,0,2,2,0,0
Rishabh Pant,4,Tymal Mills,c Tim David b Tymal Mills,1,2,1,0,0
Lalit Yadav,6,,not out,48,38,13,4,2
Rovman Powell,5,Basil Thampi,c Daniel Sams b Basil Thampi,0,2,2,0,0
Shardul Thakur,8,Basil Thampi,c Rohit Sharma b Basil Thampi,22,11,2,4,0
Axar Patel,7,,not out,38,17,2,2,3
Khaleel Ahmed,9,,,0,0,0,0,0
Kuldeep Yadav,10,,,0,0,0,0,0
Kamlesh Nagarkoti,11,,,0,0,0,0,0
Faf Du Plessis,1,Arshdeep Singh,c Shahrukh Khan b Arshdeep Singh,88,57,21,3,7
Anuj Rawat,2,Rahul Chahar,b Rahul Chahar,21,20,12,2,1
Virat Kohli,3,,not out,41,29,5,1,2
Dinesh Karthik,4,,not out,32,14,6,3,3
Sherfane Rutherford,5,,,0,0,0,0,0
David Willey,6,,,0,0,0,0,0
Wanindu Hasaranga,7,,,0,0,0,0,0
Shahbaz Ahmed,8,,,0,0,0,0,0
Harshal Patel,9,,,0,0,0,0,0
Mohammed Siraj,10,,,0,0,0,0,0
Akash Deep,11,,,0,0,0,0,0
Mayank Agarwal,6,Wanindu Hasaranga,c Shahbaz Ahmed b Wanindu Hasaranga,32,24,9,2,2
Shikhar Dhawan,7,Harshal Patel,c Anuj Rawat b Harshal Patel,43,29,8,5,1
Bhanuka Rajapaksa,9,Mohammed Siraj,c Shahbaz Ahmed b Mohammed Siraj,43,22,8,2,4
Liam Livingstone,8,Akash Deep,c Anuj Rawat b Akash Deep,19,10,3,0,2
Rajangad Bawa,11,Mohammed Siraj,lbw Mohammed Siraj,0,1,1,0,0
Shahrukh Khan,10,,not out,24,20,11,1,2
Odean Smith,1,,not out,25,8,1,1,3
Rahul Chahar,2,,,0,0,0,0,0
Sandeep Sharma,3,,,0,0,0,0,0
Harpreet Brar,4,,,0,0,0,0,0
Arshdeep Singh,5,,,0,0,0,0,0
K L Rahul,1,Mohammad Shami,c Matthew Wade b Mohammad Shami,0,1,1,0,0
Quinton De Kock,4,Mohammad Shami,b Mohammad Shami,7,9,5,1,0
Evin Lewis,5,Varun Aaron,c Shubman Gill b Varun Aaron,10,9,5,2,0
Manish Pandey,2,Mohammad Shami,b Mohammad Shami,6,5,2,1,0
Deepak Hooda,7,Rashid Khan,lbw Rashid Khan,55,41,17,6,2
Ayush Badoni,8,Varun Aaron,c Hardik Pandya b Varun Aaron,54,41,15,4,3
Krunal Pandya,3,,not out,21,13,2,3,0
Dushmantha Chameera,6,,not out,1,1,0,0,0
Avesh Khan,9,,,0,0,0,0,0
Mohsin Khan,10,,,0,0,0,0,0
Ravi Bishnoi,11,,,0,0,0,0,0
Shubman Gill,2,Dushmantha Chameera,c Deepak Hooda b Dushmantha Chameera,0,3,3,0,0
Matthew Wade,3,Deepak Hooda,b Deepak Hooda,30,29,14,4,0
Vijay Shankar,4,Dushmantha Chameera,b Dushmantha Chameera,4,6,3,0,0
